"marca","nombre_fantasia","denominacion","RNPA"
"Rapa Nui","Mix para helado de marroc libre de gluten","Mix para elaborar helado de maní libre de gluten","16009727"
"Rapa Nui","Mix para helado de chocolate libre de gluten","Mix para elaborar helado sabor chocolate libre de gluten","16009730"
"Rapa Nui","Mix para helado de dulce de leche libre de gluten","Mix para elaborar helado sabor dulce de leche libre de gluten","16009729"
"Rapa Nui","Mix para helado de frambuesa al agua libre de gluten","Mix para elaborar helado sabor frambuesa al agua libre de gluten","16009728"
"Rapa Nui","Mix para helado de limón libre de gluten","Mix para elaborar helado sabor limón al agua libre de gluten","16009726"
"Rapa Nui","Mix para helado de sambayón libre de gluten","Mix para elaborar helado sabor sambayón libre de gluten","16009723"
"Rapa Nui","Mix para helado de vainilla libre de gluten","Mix para elaborar helado sabor vainilla libre de gluten","16009724"
"Ravana","No registra","Jalea de fantasía en polvo dietética con sabor a manzana - Bajas calorías. Libre de gluten","02-504501"
"Ravana","No registra","Polvo para preparar postre para helar con sabor a chocolate – Tipo mousse – Libre de gluten","02-500946"
"Royal","Flan","Polvo para preparar flan sin huevo dietético de bajo valor glucídico sabor a chocolate. Libre de gluten sin TACC","19010183"
"Royal","Flan","Polvo para preparar flan sin huevo dietético de bajo valor glucídico sabor a dulce de leche. Aromatizado artificialmente. Libre de gluten sin TACC","19010310"
"Royal","Flan","Polvo para preparar flan sin huevo dietético de bajo valor glucídico sabor a vainilla libre de gluten aromatizado artificialmente","19010345"
"Royal","Gelatina sabor a manzana","Polvo para preparar postre de gelatina de bajo valor glucídico sabor a manzana. Libre de gluten sin TACC. Aromatizada artificialmente.","19010511"
"Royal","Gelatina light sabor ananá","Polvo para preparar postre de gelatina dietética de bajo contenido calórico sabor a ananá. Libre de gluten sin TACC, aromatizado artificialmente","19007399"
"Royal","Gelatina sabor frutilla","Polvo para preparar postre de gelatina dietética de bajo valor glucídico sabor a frutilla. Libre de gluten sin TACC. Aromatizado artificialmente","19010542"
"Royal","Gelatina Manjares Light sabor durazno","Polvo para preparar postre de gelatina dietético de bajo contenido calórico sabor a durazno. Libre de gluten sin TACC. Aromatizado artificialmente","19010412"
"Royal","Gelatina sabor a frutos rojos","Polvo para preparar postre de gelatina dietético de bajo contenido calórico sabor a frutilla y frambuesa. Libre de gluten sin TACC. Aromatizado artificialmente","19010411"
"Royal","Gelatina sabor a cereza","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a cereza. Libre de gluten sin TACC. Aromatizada artificialmente","19010507"
"Royal","Gelatina sabor a durazno","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a durazno. Libre de gluten. Sin TACC aromatizado artificialmente","19010608"
"Royal","Gelatina sabor frambuesa","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a frambuesa. Libre de gluten sin TACC. Aromatizado artificialmente","19010543"
"Royal","Gelatina sabor naranja","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a naranja. Libre de gluten. Sin TACC. Aromatizado artificialmente","19010576"
"Royal","Postre","Polvo para preparar postre dietético de bajo valor glucídico sabor a caramelo aromatizado artificialmente. Libre de gluten, sin TACC","19010303"
"Royal","Postre sabor a chocolate","Polvo para preparar postre dietético de bajo valor glucídico sabor a chocolate libre de gluten sin TACC","19010212"
"Royal","Postre sabor a dulce de leche","Polvo para preparar postre dietético de bajo valor glucídico sabor a dulce de leche. Aromatizado artificialmente. Libre de gluten sin TACC","19010539"
"Royal","Postre sabor a frutilla","Polvo para preparar postre dietético de bajo valor glucídico sabor a frutilla aromatizado artificialmente. Libre de gluten - Sin TACC","19010279"
"Royal","Postre sabor vainlla","Polvo para preparar postre dietético de bajo valoror glucídico sabor a vainilla. Aromatizado artificialmente. Libre de gluten sin T.A.C.C.","19010281"
"Royal","Postre light 58% reducido en calorías sabor a cappuccino","Polvo para preparar postre dietético sabor a cappuccino 58% reducido en calorías, aromatizado artificialmente. Libre de gluten sin TACC","19010587"
"Royal","Postre light 58 % reducido en calorías sabor chocolate","Polvo para preparar postre dietético sabor a chocolate 58 % reducido en calorías. Libre de gluten. Sin TACC","19007603"
"Royal","Postre Light 58% Reducido en Calorías Sabor a Vainilla","Polvo para preparar postre dietético sabor a vainilla 58% reducido en calorías aromatizado artificialmente libre de gluten Sin TACC","19007602"
"Royal","Postre","Polvo para preparar postre dietético sabor dulce de leche 59% reducido en calorías aromatizado artificialmente libre de gluten sin TACC","19010577"
"Royal","Mousse","Polvo para preparar postre tipo mousse dietético de sabor a chocolate 38 % reducido en calorías. Aromatizado artificialmente. Libre de gluten sin T.A.C.C.","19010173"
"Royal","No registra","Polvo para preparar postre tipo mousse dietético de sabor a chocolate 54% reducido en azucares, libre de gluten Sin TACC","19009085"
"Royal","Mousse sabor a dulce de leche","Polvo para preparar postre tipo mousse dietético sabor a dulce de leche 35% reducido en azúcares aromatizado artificialmente libre de gluten sin TACC","19009664"
"Royal","Mousse sabor a dulce de leche","Polvo para preparar postre tipo mousse dietético sabor a dulce de leche 40% reducido en calorías libre de gluten. Sin TACC","19010636"
"Royal","Mousse sabor a durazno","Polvo para preparar postre tipo mousse dietético sabor a durazno, 35% reducido en azúcares aromatizado artificialmente.Libre de gluten sin TACC","19010609"
"Royal","Flan sabor a vainilla","Polvo para preparar flan sin huevo dietético sabor a vainilla 50% reducido en calorías. Libre de gluten. Sin TACC. Aromatizado artificialmente","19007601"
"Royal","Gelatina sin sabor","Polvo para preparar gelatina sin sabor. Libre de gluten sin TACC","19007538"
"Royal","Gelatina sabor a naranja","Polvo para preparar postre de gelatina dietética de bajo contenido calórico sabor a naranja libre de gluten sin TACC aromatizado artificialmente","19007400"
"Royal","Gelatina light sabor a cereza","Polvo para preparar postre de gelatina dietético de bajo contenido calórico sabor a cereza libre de gluten sin TACC aromatizado artificialmente","19007398"
"Royal","Mousse sabor a limón","Polvo para preparar postre tipo mousse dietético sabor a limón  aromatizado artificialmente Libre de gluten sin TACC","19009659"
"Trini","No registra","Polvo para preparar flan sin huevo, dietético sabor chocolate de reducido valor glucídico y calórico - Libre de gluten","02-567946"
"Trini","No registra","Polvo para preparar flan sin huevo, dietético sabor dulce de leche de reducido valor glucídico y calórico - Libre de gluten","02-567951"
"Trini","No registra","Polvo para preparar flan sin huevo, dietético sabor vainilla de reducido valor glucídico y calórico - Libre de gluten","02-567948"
"Trini","No registra","Polvo para preparar postre cremoso dietético sabor vainilla de reducido valor glucídico y calórico - Libre de gluten","02-569471"
"Emeth","No registra","Polvo para preparar postre de gelatina dietética de contenido glúcido reducido sabor a cereza fortificado con vitamina C - Libre de gluten","02-577625"
"Emeth","No registra","Polvo para preparar postre de gelatina dietética de contenido glúcido reducido sabor a durazno fortificado con vitamina C - Libre de gluten","02-577627"
"Emeth","No registra","Polvo para preparar postre de gelatina dietética de contenido glúcido reducido sabor a frambuesa fortificado con vitamina C - Libre de gluten","02-577628"
"Emeth","No registra","Polvo para preparar postre de gelatina dietética de contenido glúcido reducido sabor a frutilla fortificado con vitamina C - Libre de gluten","02-577629"
"Día %","No registra","Queso cremoso-tipo campo - Libre de gluten","02-587496"
"Día %","No registra","Queso mozzarella libre de gluten","02-587492"
"Vacalin","No registra","Queso procesado sabor chedar - Libre de gluten","02-605104"
"Abedul","No registra","Pasta untable a base de leche entera sabor queso - Libre de gluten","02-578105"
"Adrianita","No registra","Queso cheddar libre de gluten","02-581397"
"Adrianita","No registra","Queso parmesano libre de gluten","02-581395"
"Adrianita","No registra","Queso pategrás. Libre de gluten","02-559796"
"Adrianita","No registra","Queso provolone libre de gluten","02-581396"
"Adrianita","No registra","Queso reggianito. Libre de gluten","02-559798"
"Adrianita","No registra","Queso tybo. Libre de gluten","02-559799"
"Adrianita","No registra","Queso provolone hilado semiduro libre de gluten","02-572210"
"Adrianita","No registra","Queso sardo libre de gluten","02-572209"
"Alimentaria San Nicolás","Queso tybo","Queso tybo libre de gluten","025/08000161/070"
"Argenlac","No registra","Queso reggianito. Libre de gluten","02-572406"
"Aro","No registra","Queso mozzarella - Libre de gluten","02-533105"
"Arrivata","No registra","Queso graso de pasta semidura hilada ahumada - Libre de gluten (variedades trenza ahumada y próvola ahumada)","02-581070"
"Arrivata","No registra","Queso mascarpone - Libre de gluten","02-517457"
"Barraza","No registra","Queso mozzarella sin sal agregada - Libre de gluten","02-587815"
"Barraza","No registra","Queso por salut - Libre de gluten","02-592476"
"Barraza","No registra","Queso por salut reducido en grasas sin sal agregada - Libre de gluten","02-587793"
"Barraza","No registra","Ricotta de leche entera libre de gluten","02-513393"
"Body Vida","No registra","Queso blanco semi-magro, libre de gluten","02-560490"
"Body Vida","No registra","Queso mozzarellla - Libre de gluten","02-572119"
"Body Vida","No registra","Queso tybo libre de gluten","02-602434"
"Bodyvida","No registra","Queso de crema reducido en grasas - Libre de gluten","02-609082"
"Cabaña Nacamar S.R.L.","No registra","Queso cremoso - Libre de gluten","02-612489"
"Cabaña Nacamar S.R.L.","No registra","Queso mozzarella - Libre de gluten","02-612503"
"Cabaña Nacamar S.R.L.","No registra","Queso tybo - Libre de gluten","02-612494"
"Cabaña Piedras Blancas","No registra","Queso semigraso de alta humedad - Queso blacambert - Libre de gluten.","02-604980"
"Cabras de Cafayate","No registra","Queso fresco de cabra libre de gluten","17003763"
"Cabras de Cafayate","Cabras de Cafayate S.A.","Queso semiduro de cabra y vaca libre de gluten","17003770"
"Cabras de Cafayate","Provoleta de cabra","Queso provolone de cabra libre de gluten","17003769"
"Camino del Inca","No registra","Queso cremoso libre de gluten","17003155"
"Campechano","Queso cremoso","Queso cremoso libre de gluten","025/08000161-7/051"
"Campechano","Queso por salut","Queso por salut libre de gluten","025/08000161-7/052"
"Campechano","Queso tybo","Queso tybo libre de gluten","025/08000161-7/050"
"Carnevali","Queso cremoso","Queso cremoso libre de gluten","025/08000161-7/086"
"Carnevali","Queso sardo","Queso sardo libre de gluten","025/08000161-7/087"
"Carnevali","Queso tybo","Queso tybo libre de gluten","025/08000161-7/088"
"Casancrem","No registra","Alimento lácteo a base de queso blanco libre de gluten","02-578672"
"Casancrem","No registra","Alimento lácteo a base de queso blanco sabor dulce de leche - Libre de gluten","02-589404"
"Casancrem","No registra","Alimento lácteo a base de queso blanco sabor manteca - Libre de gluten","02-586011"
"Casancrem Light","No registra","Alimento lácteo a base de queso blanco semimagro libre de gluten","02-579383"
"Casancrem Light","No registra","Producto lácteo a base de queso blanco semimagro. Libre de gluten","02-502332"
"Casanto","No registra","Queso cremoso, libre de gluten","02-591604"
"Casanto","No registra","Queso sardo - Libre de gluten","02-515066"
"Casanto","No registra","Queso cremoso - Libre de gluten","02-600099"
"Castelmar","No registra","Queso gruyerito.","02-611894"
"Castelmar","No registra","Queso romano argentino.","02-611897"
"Chubut","No registra","Queso de alta humedad semigraso - Libre de gluten","02-566529"
"Chubut","No registra","Queso de alta humedad, semigraso - Libre de gluten","02-567898"
"Chubut","No registra","Queso de alta humedad, semigraso- Libre de gluten","02-592597"
"Chubut","No registra","Queso de alta humedad, semigraso. Libre de gluten","02-592869"
"Chubut","No registra","Queso de alta humedad, semigraso. Libre de gluten. Chubut light","02-572073"
"Chubut","No registra","Queso de mediana humedad, graso - Libre de gluten","02-590131"
"Chubut","No registra","Queso de mediana humedad, graso - Libre de gluten","02-568793"
"Chubut","No registra","Queso de mediana humedad, graso. Libre de gluten","02-567659"
"Chubut","No registra","Queso de mediana humedad, graso. Libre gluten","02-572066"
"Chubut","Chubut light","Queso de alta humedad, semigraso. Libre de gluten","19010499"
"Chubut","No registra","Queso de mediana humedad - graso. Libre de gluten","02-566485"
"Chubut","No registra","Queso de mediana humedad, graso - Libre de gluten","02-566483"
"Clamor","No registra","Ricota con crema - Libre de gluten","02-527163"
"Cooperativa","No registra","Queso mozzarella - Libre de gluten","02-611204"
"Cooperativa","Queso rallado","Queso rallado, libre de gluten","19008840"
"Cosalta","No registra","Queso criollo con ají libre de gluten","17000618"
"Cosalta","no registra","Queso criollo libre de gluten","17001301"
"Cosalta","no registra","Queso cuartirolo libre de gluten","17001154"
"Cosalta","no registra","Queso sardo libre de gluten","17001600"
"Cosalta","no registra","Queso tybo libre de gluten","17001633"
"Coto Blanco","No registra","Alimento a base de queso crema. Libre de gluten","02-591336"
"Coto Blanco Clásico","No registra","Alimento a base de queso de crema libre de gluten","02-589660"
"Cremigal","Queso cremoso","Queso cremoso libre de gluten","025/08000161/011"
"Cremigal","Queso criollo","Queso criollo. Libre de gluten","025/08000161/044"
"Cremigal","Queso Pategrás","Queso Pategrás libre de gluten","025/08000161/004"
"Cremigal","Queso por salut sin sal – Muy bajo en sodio","Queso por salut sin agregado de sal muy bajo en sodio libre de gluten","025/08000161/043"
"Cremigal","Queso por salut","Queso por salut. Libre de gluten","025/08000161/012"
"Cremigal","Queso Reggianito","Queso reggianito libre de gluten","025/08000161/014"
"Cremigal","Queso Sardo","Queso sardo libre de gluten","025/08000161/013"
"Cremigal","Queso Sbrinz","Queso Sbrinz libre de gluten","025/08000161/015"
"Cremigal","Queso tybo","Queso tybo libre de gluten","025/08000161/016"
"Cremigal","Ricota semimagra homogeneizada","Ricota semimagra homogeneizada. Libre de gluten","025/08000161/042"
"Cremigal","Ricota semimagra","Ricota semimagra. Libre de gluten","025/08000161/019"
"Cremigal","Queso gruyerito","Queso gruyerito libre de gluten","025/08000161/033"
"Cremigal","Queso Gouda","Queso gouda libre de gluten","025/08000161-7/032"
"Cremigal","Queso Mozzarella","Queso mozzarella. Libre de gluten","025/08000161/041"
"Cremigal","Queso por salut light","Queso por salut magro reducido en contenido graso y valor energético libre de gluten","025/08000161/047"
"Cremigal","Queso prato","Queso prato libre de gluten","025/08000161-7/085"
"Cremón - La Serenísima","No registra","Queso de alta humedad graso - queso tipo cremoso - Libre de gluten","02-576304"
"Cremón - La Serenísima","No registra","Queso procesado untable - Libre de gluten","02-591089"
"Cremón - La Serenísima","No registra","Queso procesado untable. Libre de gluten","02-576234"
"Cremón - La Serenísima","Queso doble crema","Queso de alta humedad, doble crema libre de gluten - Sin TACC","19009928"
"Crismalac","No registra","Queso sbrinz libre de gluten","02-584761"
"D. María","No registra","Queso mozzarella - Libre de gluten","02-611199"
"Del Tambo","no registra","Alimento lácteo a base de queso blanco semimagro, libre de gluten","17003470"
"Del Tambo","No registra","Queso tybo libre de gluten","17003775"
"Del tambo","No registra","Queso cremoso libre de gluten","17003776"
"Del Tambo","No registra","Queso reggianito libre de gluten","17003789"
"Del Tambo","No registra","Queso sardo libre de gluten","17003790"
"Del Tambo","No registra","Queso por salut libre de gluten","17003791"
"Del Tambo","No registra","Queso pategras libre de gluten","17003798"
"Del Tambo","No registra","Alimento lácteo a base de queso blanco semimagro, libre de gluten","17003471"
"Dia %","No registra","Queso de crema reducido en grasas - Libre de gluten - Queso de crema light","02-601181"
"Día %","No registra","Queso blanco semimagro - Libre de gluten","02-560336"
"Día %","No registra","Queso de crema - Libre de gluten","02-560310"
"Día %","No registra","Queso de crema - Libre de gluten","02-579308"
"Día %","No registra","Queso tybo libre de gluten","02-587493"
"Don Atilio","No registra","Queso cuartirolo argentino libre de gluten","02-506660"
"Don Atilio","No registra","Queso gouda libre de gluten","02-564272"
"Don Atilio","No registra","Queso gouda libre de gluten","02-591776"
"Don Atilio","No registra","Queso mozarella. Libre de gluten","02-586655"
"Don Atilio","No registra","Queso provolone semi-duro condimentado libre de gluten","02-589361"
"Don Atilio","No registra","Queso provolone semiduro libre de gluten","02-583257"
"Don Atilio","No registra","Queso reggianito - Libre de gluten","02-583254"
"Don Atilio","No registra","Queso tipo por salut magro sin sal agregada libre de gluten","02-583255"
"Don Atilio","No registra","Queso Tandil - Libre de gluten. Quesito de Tandil","02-597164"
"Don Atilio","No registra","Queso fontina - Libre de gluten.","02-598691"
"Don Atilio","No registra","Queso pategras - Libre de gluten.","02-598789"
"Don Atilio","No registra","Queso pepato - Libre de gluten.","02-598690"
"Don Atilio","No registra","Queso port salut - Libre de gluten.","02-598680"
"Don Atilio","No registra","Queso port salut magro - Libre de gluten.","02-598678"
"Don Atilio","No registra","Queso sardo - Libre de gluten.","02-598788"
"Don Atilio","No registra","Queso sbrinz- Libre de gluten","02-598688"
"Don Atilio","No registra","Queso tybo - Libre de gluten.","02-598790"
"Don Atilio","No registra","Queso brie - Libre de gluten","02-597122"
"Don Atilio","No registra","Queso cuartirolo – Libre de gluten","02-597121"
"Don Atilio","No registra","Ricotta semi grasa.- Libre de gluten","02-597120"
"Don Atilio","No registra","Queso gouda con sabor ahumado - Libre de gluten","02 - 603686"
"Don Atilio","No registra","Queso gouda saborizado con ajo y comino - Libre de gluten","02 - 603685"
"Don Atilio","No registra","Queso gouda saborizado con orégano - Libre de gluten","02 - 603684"
"Don Atilio","No registra","Queso Tandil libre de gluten","02-554787"
"Don atilio","No registra","Queso pategrás libre de gluten","02-507017"
"Doña Aurora","No registra","Queso danbo - Libre de gluten","02-588400"
"Doña Aurora","No registra","Queso por salut - Libre de gluten","02-588401"
"Doña Aurora","No registra","Queso cremoso- Libre de gluten.","02-598754"
"Doña Aurora","No registra","Queso tybo - Libre de gluten","02-569442"
"Doña Aurora","No registra","Queso mozzarella - producto libre de gluten","02-606069"
"Doña Aurora","No registra","Queso mozzarella con provenzal - Libre de gluten","02-605983"
"Doña Aurora","No registra","Queso mozzarella sabor ahumado - Libre de gluten","02-606493"
"Doña Aurora","No registra","Queso mozzarella con orégano- Libre de gluten","02-611215"
"Doña Aurora","No registra","Queso mozzarella sin sal agregada - Libre de gluten","02-611425"
"Doña Aurora.","No registra","Queso cheddar - Libre de gluten","02-610045"
"Doña Aurora.","No registra","Queso cheddar procesado - Libre de gluten","02-610041"
"El Benque","No registra","Queso tybo - Libre de gluten.","02-598776"
"El Benque","No registra","Queso cremoso - Libre de gluten","02-600896"
"El Chañar","No registra","Queso cremoso libre de gluten","025/08002215/020"
"El Chañar","No registra","Queso pategrás sándwich libre de gluten","025/08002215/021"
"El Chañar","No registra","Queso cremoso procesado libre de gluten","025/08002215/022"
"El Criollo","Queso Tybo","Queso Tybo libre de gluten","025/08000161/035"
"El Criollo","Queso Tybo","Queso Ttybo libre de gluten","025/08000161-7/035"
"El Quintal","No registra","Queso mozzarella - Libre de gluten","02-564843"
"Esperanza Blanca","Queso cremoso. Libre de gluten","Queso cremoso. Libre de gluten","025/08002357/001"
"Esperanza Blanca","Queso criollo. Libre de gluten","Queso criollo - Libre de gluten","025/08002357/021"
"Esperanza Blanca","Queso edam. Libre de gluten","Queso edam - Libre de gluten","025/08002357/017"
"Esperanza Blanca","Queso fontina. Libre de gluten","Queso fontina - Libre de gluten","025/08002357/003"
"Esperanza Blanca","Queso holanda. Libre de gluten","Queso holanda - Libre de gluten","025/08002357/008"
"Esperanza Blanca","Queso mozarella. Libre de gluten","Queso mozzarella - Libre de gluten","025/08002357/007"
"Esperanza Blanca","Queso pategrás. Libre de gluten","Queso pategrás sándwich - Libre de gluten","025/08002357/002"
"Esperanza Blanca","Queso por salut sin sal. Libre de gluten","Queso por salut sin sal - Libre de gluten","025/08002357/024"
"Esperanza Blanca","Queso por salut. Libre de gluten","Queso port salut - Libre de gluten","025/08002357/013"
"Esperanza Blanca","Queso provolone. Libre de gluten","Queso provolone semiduro - Libre de gluten","025/08002357/011"
"Esperanza Blanca","Queso provoleta. Libre de gluten","Queso provolone semiduro con ají triturado, orégano y perejil - Libre de gluten","025/08002357/012"
"Esperanza Blanca","Queso reggianito. Libre de gluten","Queso reggianitto - Libre de gluten","025/08002357/005"
"Esperanza Blanca","Queso sardo. Libre de gluten","Queso sardo - Libre de gluten","025/08002357/004"
"Esperanza Blanca","Queso con finas hierbas secas. Libre de gluten","Queso sardo con finas hierbas secas, albahaca, orégano, perejil, ajo, ají, laurel y pimienta - Libre de gluten","025/08002357/023"
"Esperanza Blanca","Queso pepato. Libre de gluten","Queso sardo con pimienta - Libre de gluten","025/08002357/014"
"Esperanza Blanca","Queso ricota. Libre de gluten","Ricota de leche entera - Libre de gluten","025/08002357/009"
"Esperanza Blanca","Queso de Cabra","Queso de cabra libre de gluten","025/08002357/026"
"Esperanza Blanca","Queso Fundido Sabor Cheddar","Queso fundido para untar sabor cheddar libre de gluten","025/08002357/025"
"Fermier","No registra","Queso fontina- Libre de gluten","02-610962"
"Fiambrín La Serenísima","No registra","Queso procesado pasteurizado con trocitos de mortadela libre de gluten","02-552384"
"Finlandia - La Serenisima","No registra","Alimento a base de queso procesado. Sabor hamburguesa. Libre de gluten.","02-612234"
"Finlandia - La Serenísima","No registra","Queso cheddar procesado untable reducido en su contenido calórico. Libre de gluten","02-590123"
"Finlandia - La Serenísima","No registra","Queso procesado untable - Libre de gluten","02-591095"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético reducido en su contenido calórico, con panceta y cebolla. Libre de gluten","02-588223"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en calorías, libre de gluten","02-590124"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en su contenido calórico, con puerro, sabor cebolla-ciboulette - Libre de gluten","02-584418"
"Finlandia - La Serenísima","No registra","Queso procesado untable, con extracto natural de queso gruyere - Libre de gluten","02-576235"
"Finlandia - La Serenísima","No registra","Queso procesado untable, con extracto natural de queso gruyere - Libre de gluten","02-591077"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en contenido calórico, sabor parmesano, con jamón. Libre de gluten","02-593460"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en su contenido calórico - sabor caesar - libre de gluten","02-594378"
"Finlandia - La Serenísima","No registra","Queso procesado untable, dietético, reducido en su contenido calórico, sabor pesto. Libre de gluten","02-593693"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en su contenido calórico, sabor champiñones con jamón - Libre de gluten","02-597896"
"Finlandia - La Serenísima","No registra","Queso procesado untable dietético reducido en calorías - Sabor salmón - Libre de gluten","02 - 602802"
"Finlandia - La Serenísima","No registra","Alimento a base de queso procesado. Sabor césar. Libre de gluten.","02-612019"
"Finlandia - La Serenísima","No registra","Alimento a base de queso procesado. Sabor cheddar. Libre de gluten","02-612026"
"Finlandia - La Serenísima","No registra","Alimento a base de queso procesado. Sabor hongo. Libre de gluten","02-612228"
"Finlandia Balance- La Serenísima","No registra","Queso procesado untable dietético, reducido en calorías, reducido en grasa- Libre de gluten","02-598959"
"Finlandia La Serenísima","No registra","Queso procesado dietético untable, reducido en su contenido graso, reducido en calorías, libre de gluten","02-522435"
"Finlandia La Serenísima","No registra","Queso procesado untable dietético, reducido en su contenido calórico, con fiambre, sabor calabresa- Libre de gluten","02-598929"
"Fortuna","No registra","Queso procesado pasteurizado, libre de gluten","02-567829"
"Fortuna","No registra","Queso procesado pasteurizado, sabor fontina - Libre de gluten","02-571341"
"Fortuna","No registra","Queso procesado- Libre de gluten","02-613190"
"Fromy","Fromy Gras","Queso pategrás con estragón libre de gluten","025/08000471-7/008"
"Fromy","Fromy Gras","Queso pategrás con kummel libre de gluten","025/08000471-7/007"
"Fromy","Fromy Gras","Queso pategrás libre de gluten","025/08000471-7/006"
"Fromy","Fromy Sard","Queso pepato libre de gluten","025/08000471-7/011"
"Fromy","Fromy Lone","Queso provolone con orégano libre de gluten","025/08000471-7/004"
"Fromy","Fromy Lone","Queso provolone con pimienta libre de gluten","025/08000471-7/005"
"Fromy","Fromy Lone","Queso provolone libre de gluten","025/08000471-7/003"
"Fromy","Fromy Sard","Queso sardo con orégano libre de gluten","025/08000471-7/010"
"Fromy","Fromy Sard","Queso sardo libre de gluten","025/08000471-7/009"
"García","No registra","Ricotta con crema libre de gluten - Sin TACC","02-530247"
"García","No registra","Ricotta con crema. Baja en sodio. Libre de gluten","02-585879"
"Grana Pampeana","No registra","Queso de baja humedad semigraso libre de gluten sin TACC","02-570393"
"Grana Pampeana","No registra","Queso de baja humedad, semigraso, rallado, sin deshidratar. Libre de gluten","02-571880"
"Grana Pampeana","No registra","Queso semigraso de baja humedad, libre de gluten","02-579573"
"Grana Pampeana","Queso rallado","Queso de baja humedad, semi graso rallado sin deshidratar, libre de gluten","19010368"
"Grana Pampeano","No registra","Queso de baja humedad, semigraso libre de gluten","02-571869"
"Hermar","Queso cremoso","Queso cremoso libre de gluten","025/08000161-7/057"
"Hermar","Queso tybo","Queso tybo libre de gluten","025/08000161-7/056"
"Hermar","Queso sardo","Queso sardo libre de gluten","025/08000161-7/060"
"Jumbo","No registra","Queso cremoso libre de gluten","02-589424"
"Jumbo","No registra","Queso tybo libre de gluten","02-589425"
"Jumbo Más Calidad","No registra","Alimento a base de queso crema - Libre de gluten","02-593497"
"Jumbo Más Calidad","No registra","Alimento a base de queso blanco. Libre de gluten","02-595655"
"Jumbo Más Calidad","No registra","Queso brie - Libre de gluten","02-576295"
"Jumbo Más Calidad","No registra","Queso camembert - Libre de gluten","02-576297"
"La Anónima","No registra","Queso mozzarella - Libre de gluten","02-601111"
"La Cañada","No registra","Queso cremoso libre de gluten","02-586147"
"La Cañada","No registra","Queso sardo - Libre de gluten.","02-598784"
"La Cañada","No registra","Queso mozzarella - Libre de gluten","02-506412"
"La casiana","No registra","Queso cremoso - Libre de gluten","02 - 604196"
"La casiana","No registra","Queso de mediana humedad semigraso - Tipo port salut sin sal agregada - Libre de gluten","02 - 604032"
"La casiana","No registra","Queso fontina - Libre de gluten","02 - 604037"
"La casiana","No registra","Queso gouda - Libre de gluten","02 - 604034"
"La casiana","No registra","Queso gouda chico - Queso postre - Libre de gluten","02 - 604193"
"La Casiana","No registra","Queso muzzarella - Libre de gluten","02 - 604207"
"La casiana","No registra","Queso pategrás - Libre de gluten","02 - 604039"
"La casiana","No registra","Queso pategrás sándwich - Libre de gluten","02 - 604036"
"La casiana","No registra","Queso por salut - Libre de gluten","02 - 604194"
"La casiana","No registra","Queso reggianito libre de gluten","02 - 604204"
"La casiana","No registra","Queso sardo - Libre de gluten","02 - 604191"
"La casiana","No registra","Ricota semimagra - Libre de gluten","02 - 604197"
"La Lácteo","No registra","Queso mozzarella libre de gluten","02-601747"
"La Lecherita","No registra","Queso colonia libre de gluten","025/08002215/008"
"La Lecherita","No registra","Queso cuartirolo libre de gluten","025/08002215/001"
"La Lecherita","No registra","Queso Holanda libre de gluten","025/08002215/006"
"La Lecherita","No registra","Queso muzzarella libre de gluten","025/08002215/009"
"La Lecherita","No registra","Queso pategrás sándwich libre de gluten","025/08002215/002"
"La Lecherita","No registra","Queso rallado libre de gluten","025/08002215/010"
"La Lecherita","No registra","Queso sardo libre de gluten","025/08002215/007"
"La Lecherita","No registra","Ricotta semigrasa libre de gluten","025/08002215/005"
"La Lecherita","No registra","Queso por salut libre de gluten","025/08002215/004"
"La Lecherita","No registra","Queso tybo libre de gluten","025/08002215/003"
"La Lecherita","No registra","Queso procesado untable clásico libre de gluten","025/08002215/019"
"La Lecherita","No registra","Queso procesado untable sabor blue cheese libre de gluten","025/08002215/018"
"La Lecherita","No registra","Queso procesado untable sabor gruyere libre de gluten","025/08002215/016"
"La Lecherita","No registra","Queso procesado untable sabor jamón libre de gluten","025/08002215/017"
"La Pionera","No registra","Queso cremoso libre de gluten","02-587499"
"La Pionera","No registra","Queso tybo  libre de gluten","02-587530"
"La Rodriguense","No registra","Queso reggianito, libre de gluten - Sin TACC","02-570759"
"La Rodriguense","Queso cremoso","Queso cremoso, libre de gluten","19009981"
"La Salamandra","No registra","Queso cremoso - Libre de gluten","02-584810"
"La Salamandra","No registra","Queso mozzarella para pizza - Libre de gluten","02-584841"
"La Salamandra","No registra","Queso mozzarella. Libre de gluten","02-505896"
"La Salamandra","No registra","Ricotta con crema - Libre de gluten","02-586141"
"La Salamandra","No registra","Ricotta semigrasa - Libre de gluten","02-586140"
